"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.762254708E0,1.087954871E-2,2.159908837E-1,-2.813022360E-1,3.548258367E-1
2.772309708E0,8.425450377E-2,1.624338967E-1,-2.630331954E-1,3.204216817E-1
2.782364708E0,1.686226263E-1,1.190738690E-1,-2.346882328E-1,3.125551839E-1
2.792419708E0,1.440450247E-1,9.889278889E-2,-1.364567640E-1,2.216961914E-1
2.802474708E0,7.412895352E-2,8.072315097E-2,-8.606341302E-2,1.393493449E-1
2.812529708E0,5.066758543E-2,1.141610384E-1,-3.630653143E-2,1.300696395E-1
2.822584708E0,4.168721236E-2,1.305934685E-1,-6.108147651E-2,1.500780613E-1
2.832640708E0,-1.644291859E-2,9.114522815E-2,-5.432443410E-2,1.073730242E-1
2.842695708E0,-4.006683927E-2,3.401032984E-2,-4.361818224E-2,6.829787674E-2
2.852750708E0,-5.183264315E-2,2.502023578E-2,-7.247039080E-2,9.254508435E-2
2.862805708E0,4.337121047E-2,4.470137894E-2,-1.012126717E-1,1.188414073E-1
2.872860708E0,1.039778200E-1,9.268596947E-2,-8.101317286E-2,1.611372401E-1
2.882915708E0,-1.444931041E-2,1.080261397E-1,8.229078948E-3,1.092984317E-1
2.892971708E0,-5.798479110E-2,1.119771034E-1,5.206945539E-2,1.364270349E-1
2.903026708E0,-1.556923494E-2,9.121831834E-2,5.874580622E-2,1.096095453E-1
2.913081708E0,2.582441065E-2,7.297500551E-2,1.693909138E-2,7.924130508E-2
2.923136708E0,3.093666784E-2,5.673787236E-2,1.853304237E-2,6.722899105E-2
2.933191708E0,-1.631164860E-2,-3.018157303E-2,8.827102929E-2,9.470359995E-2
2.943246708E0,-1.646588719E-1,-1.278558022E-1,1.529856732E-1,2.585812570E-1
2.953302708E0,-3.014948644E-1,-1.928113514E-1,2.404339993E-1,4.311425269E-1
2.963357708E0,-3.627463121E-1,-2.214077443E-1,2.558311799E-1,4.960401887E-1
2.973412708E0,-3.081688763E-1,-2.397498751E-1,2.190735358E-1,4.477066819E-1
2.983467708E0,-2.481353670E-1,-2.661254954E-1,2.502386105E-1,4.416031045E-1
2.993522708E0,-2.149012551E-1,-2.892056251E-1,2.790519351E-1,4.557328444E-1
3.003577708E0,-1.456201915E-1,-2.091870636E-1,2.836691889E-1,3.813563642E-1
