"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.524412042E0,3.946390217E0,1.518159378E0,-1.631712306E-1,4.231480650E0
2.534401042E0,3.953194037E0,1.857992535E0,-1.121953799E0,4.509840316E0
2.544389042E0,3.228191628E0,1.770672263E0,-2.027050157E0,4.203026742E0
2.554378042E0,2.127154197E0,1.079747135E0,-2.249708036E0,3.278997575E0
2.564367042E0,7.773767960E-1,5.243274289E-1,-1.887347311E0,2.107442481E0
2.574355042E0,7.918182492E-2,-2.739905852E-1,-1.025825574E0,1.064734103E0
2.584344042E0,6.587876612E-1,-1.459153955E0,1.142522550E-1,1.605049851E0
2.594333042E0,2.117527049E0,-2.703587041E0,1.548077826E0,3.766941551E0
2.604321417E0,4.119028966E0,-1.942604084E0,1.570050493E0,4.817174359E0
2.614309417E0,2.504817962E0,-1.867925785E0,3.278428566E-1,3.141773496E0
2.624298417E0,-2.420557246E0,-2.043843361E0,5.423409462E-2,3.168490871E0
2.634287417E0,-3.500370162E0,-3.906407248E0,1.904006613E0,5.580129931E0
2.644275417E0,3.893228209E-1,-2.236229619E0,4.525687028E0,5.063016713E0
2.654264417E0,1.850685269E0,-1.943025084E0,3.760331522E0,4.619575262E0
2.664253417E0,1.324348737E0,-2.545899330E0,4.655312197E0,5.468769023E0
2.674241417E0,-4.302175747E0,-2.903398095E0,5.033969112E0,7.230441320E0
2.684230417E0,-2.226666498E-1,-1.518931795E0,-6.834026849E-1,1.680408719E0
2.694219417E0,1.382410711E0,8.274985439E-1,-5.098427063E-1,1.689897275E0
2.704208417E0,9.265237722E-1,6.320518523E-1,6.856398296E-1,1.314548523E0
2.714196417E0,1.633628438E0,1.658024776E-1,1.317572984E0,2.105286418E0
2.724185417E0,2.114077191E0,6.022942024E-1,1.420331367E0,2.617140017E0
2.734174417E0,1.219154404E0,9.388172507E-1,1.441822808E0,2.108688763E0
2.744162417E0,-3.786028281E-1,1.332007420E-1,1.308048454E0,1.368237296E0
2.754151417E0,-1.094761615E0,-3.503955674E-1,8.904525912E-1,1.454024025E0
2.764140417E0,-1.026716982E0,1.531461793E-1,8.003335494E-1,1.310776603E0
2.774129417E0,-6.999877274E-1,4.429903203E-1,7.318866277E-1,1.105387388E0
2.784117417E0,-6.140821892E-1,4.027655697E-1,4.649711734E-1,8.692037916E-1
2.794106417E0,-4.448795557E-1,6.551477695E-1,1.632741416E-1,8.085758246E-1
2.804095417E0,-2.085318831E-1,1.220538440E0,-4.394051000E-1,1.313878408E0
2.814083417E0,-3.675705940E-2,1.550589790E0,-1.445096664E0,2.119901919E0
2.824072417E0,-2.053042200E-1,1.701305866E-1,-1.289339703E0,1.316621095E0
2.834061417E0,-1.102904740E-1,-1.510091389E0,2.839635962E-1,1.540511382E0
2.844050417E0,1.781781095E-1,-1.821428141E0,9.943877265E-1,2.082823771E0
2.854038417E0,-5.129756445E-1,-1.306696578E0,2.741540149E-1,1.430300801E0
2.864027417E0,-1.290799168E0,-1.646909219E-1,1.080226314E-1,1.305739055E0
2.874016417E0,-1.562007648E0,7.394342136E-1,6.992240810E-1,1.864281407E0
2.884004417E0,-1.233383018E0,1.075677180E0,1.192400469E0,2.024878748E0
2.893993417E0,-4.743793434E-1,9.727205765E-1,1.096893802E0,1.540907880E0
2.903982417E0,-7.508345300E-1,7.797519350E-1,-1.352914140E-1,1.090902992E0
2.913970417E0,-9.799179143E-1,7.330034459E-1,-1.798214402E0,2.175111079E0
2.923959417E0,-1.016093468E0,-9.489797115E-1,-2.615740228E0,2.962280434E0
2.933948417E0,-4.264304209E-1,-1.704168078E0,-2.368951474E0,2.949230888E0
2.943937417E0,1.771168399E-1,1.437479496E-2,-1.453182486E0,1.464006949E0
2.953925417E0,-2.995411634E-2,9.325256467E-2,-4.634497279E-1,4.736865421E-1
2.963914417E0,1.155854201E-1,-1.372294736E-1,1.381513748E0,1.393115988E0
2.973903417E0,3.519933191E-1,1.133541226E-1,2.079790581E0,2.112410309E0
2.983891417E0,2.864629886E-1,4.821865457E-1,1.701796155E0,1.791835668E0
2.993880417E0,6.573632795E-1,9.615980029E-1,1.237110326E0,1.699187794E0
3.003869417E0,7.977514189E-1,1.375655715E0,1.492145700E0,2.180673007E0
3.013858417E0,1.299672318E0,1.637688160E0,1.262212715E0,2.442202199E0
3.023846417E0,1.473645110E0,1.593911811E0,-1.822182432E0,2.834172469E0
3.033835417E0,-2.943657929E-1,5.344577301E-1,-5.178215244E0,5.214039643E0
3.043824417E0,-9.502213678E-1,-1.202388098E0,-5.276539099E0,5.494590308E0
3.053812417E0,-1.674984040E0,-4.012044801E0,-3.512258720E0,5.589099779E0
3.063801417E0,1.951344502E-1,-4.692151995E0,-7.366790056E-2,4.696785577E0
3.073790417E0,2.335481720E0,-4.298111055E0,3.038490996E0,5.758529416E0
3.083778417E0,2.138242564E0,-4.182107559E0,3.332765572E0,5.759290864E0
3.093767417E0,1.297480489E0,-4.099850684E0,2.064547182E0,4.770176759E0
